book,chapter,verse,text
Testament of Levi,16,1,"And now I have learnt that for seventy weeks ye shall go astray, and profane the priesthood, and"
Testament of Levi,16,2,"pollute the sacrifices. And ye shall make void the law, and set at nought the words of the prophets by evil perverseness. And ye shall persecute righteous men, and hate the godly the words of the"
Testament of Levi,16,3,"faithful shall ye abhor. [And a man who reneweth the law in the power of the Most High, ye shall call a deceiver; and at last ye shall rush (upon him) to slay him, not knowing his dignity, taking"
Testament of Levi,16,4,innocent blood through wickedness upon your heads.] And your holy places shall be laid waste
Testament of Levi,16,5,even to the ground because of him. And ye shall have no place that is clean; but ye shall be among the Gentiles a curse and a dispersion until He shall again visit you and in pity shall receive you [through faith and water].
Testament of Levi,17,1,"And whereas ye have heard concerning the seventy weeks, hear also concerning the priesthood."
Testament of Levi,17,2,"For in each jubilee there shall be a priesthood. And in the first jubilee, the first who is anointed to the priesthood shall be great, and shall speak to God as to a father. And his priesthood shall be perfect with the Lord, [and in the day of his gladness shall he arise for the salvation of the world]."
Testament of Levi,17,3,"In the second jubilee, he that is anointed shall be conceived in the sorrow of beloved ones; and his"
Testament of Levi,17,4,priesthood shall be honoured and shall be glorified by all. And the third priest shall be taken hold
Testament of Levi,17,5,"of by sorrow. And the fourth shall be in pain, because unrighteousness shall gather itself against"
Testament of Levi,17,6,"him exceedingly, and all Israel shall hate each one his neighbour. The fifth shall be taken hold of"
Testament of Levi,17,7,by darkness Likewise also the sixth and the seventh. And in the seventh shall be such pollution
Testament of Levi,17,8,"as I cannot express before men, for they shall know it who do these things. Therefore shall they"
Testament of Levi,17,9,"be taken captive and become a prey, and their land and their substance shall be destroyed."
Testament of Levi,17,10,"And in the fifth week they shall return to their desolate country, and shall renew the house of the"
Testament of Levi,17,11,"Lord. And in the seventh week shall become priests, (who are) idolaters, adulterers, lovers of money, proud, lawless, lascivious, abusers of children and beasts."
Testament of Levi,18,1,"And after their punishment shall have come from the Lord, the priesthood shall fail."
Testament of Levi,18,2,Then shall the Lord raise up a new priest. And to him all the words of the Lord shall be revealed; And he shall execute a righteous judgement upon the earth for a multitude of days.
Testament of Levi,18,3,"And his star shall arise in heaven as of a king. Lighting up the light of knowledge as the sun the day, And he shall be magnified in the world."
Testament of Levi,18,4,"He shall shine forth as the sun on the earth, And shall remove all darkness from under heaven, And there shall be peace in all the earth."
Testament of Levi,18,5,"The heavens shall exult in his days, And the earth shall be glad, And the clouds shall rejoice, [And the knowledge of the Lord shall be poured forth upon the earth, as the water of the seas; And the angels of the glory of the presence of the Lord shall be glad in him."
Testament of Levi,18,6,"The heavens shall be opened, And From the temple of glory shall come upon him sanctification, With the Father's voice as from Abraham to Isaac."
Testament of Levi,18,7,"And the glory of the Most High shall be uttered over him, And the spirit of understanding and sanctification shall rest upon him [in the water]."
Testament of Levi,18,8,For he shall give the majesty of the Lord to His sons in truth for evermore; And there shall none succeed him for all generations for ever.
Testament of Levi,18,9,"And in his priesthood the Gentiles shall be multiplied in knowledge upon the earth, And enlightened through the grace of the Lord: In his priesthood shall sin come to an end, And the lawless shall cease to do evil. [And the just shall rest in him.]"
Testament of Levi,18,10,"And he shall open the gates of paradise, And shall remove the threatening sword against Adam. 11 And he shall give to the saints to eat from the tree of life, And the spirit of holiness shall be on them."
Testament of Levi,18,12,"And Beliar shall be bound by him, And he shall give power to His children to tread upon the evil spirits."
Testament of Levi,18,13,"And the Lord shall rejoice in His children, And be well pleased in His beloved ones for ever."
Testament of Levi,18,14,"Then shall Abraham and Isaac and Jacob exult, And I will be glad, And all the saints shall clothe themselves with joy."
Testament of Levi,19,1,"And now, my children, ye have heard all; choose, therefore, for yourselves either the light or the"
Testament of Levi,19,2,"darkness, either the law of the Lord or the works of Beliar. And his sons answered him, saying,"
Testament of Levi,19,3,"Before the Lord we will walk according to His law. And their father said unto them, The Lord is witness, and His angels are witnesses, and ye are witnesses, and I am witness, concerning the word"
Testament of Levi,19,4,"of your mouth. And his sons said unto him: We are witnesses. And thus Levi ceased commanding his sons; and he stretched out his feet on the bed, and was gathered to his fathers, after he had"
Testament of Levi,19,5,"lived a hundred and thirty-seven years. And they laid him in a coffin, and afterwards they buried him in Hebron, with Abraham, Isaac, and Jacob. 1 1, 2"
Testament of Judah,2,1,"And the Lord showed me favour in all my works both in the field and in the house. I know that 3 I raced a hind, and caught it, and prepared the meat for my father, and he did eat. And the roes I used to master in the chase, and overtake all that was in the plains. A wild mare I overtook, and 4 caught it and tamed it. I slew a lion and plucked a kid out of its mouth. I took a bear by its paw 5 and hurled it down the cliff, and it was crushed. I outran the wild boar, and seizing it as I ran, 6 I tore it in sunder."
Testament of Judah,2,2,"And the Lord showed me favour in all my works both in the field and in the house. I know that 3 I raced a hind, and caught it, and prepared the meat for my father, and he did eat. And the roes I used to master in the chase, and overtake all that was in the plains. A wild mare I overtook, and 4 caught it and tamed it. I slew a lion and plucked a kid out of its mouth. I took a bear by its paw 5 and hurled it down the cliff, and it was crushed. I outran the wild boar, and seizing it as I ran, 6 I tore it in sunder."
Testament of Judah,2,7,"hurled it on the rocks, and it was broken in twain. I found a wild ox feeding in the fields, and seizing it by the horns, and whirling it round and stunning it, I cast it from me and slew it."
Testament of Judah,3,1,"And when the two kings of the Canaanites came sheathed in armour against our flocks, and much people with them, single-handed I rushed upon the king of Hazor, and smote him on the greaves"
Testament of Judah,3,2,"and dragged him down, and so I Slew him. And the other, the king of Tappuah, as he sat upon his"
Testament of Judah,3,3,"horse, [I slew, and so I scattered all his people. Achor the king] a man of giant stature I found, hurling javelins before and behind as he sat on horseback, and I took up a stone of sixty pounds"
Testament of Judah,3,4,"weight, and hurled it and smote his horse, and killed it. And I fought with (this) other for two"
Testament of Judah,3,5,"hours; and I clave his shield in twain, and I chopped off his feet, and killed him. And as I was"
Testament of Judah,3,6,"stripping off his breastplate, behold nine men his companions began to fight with me. And I wound my garment on my hand; and I slung stones at them, and killed four of them, and the rest fled."
Testament of Judah,3,7,"And Jacob my father slew Beelesath, king of all the kings, a giant in strength, twelve cubits high. 8,"
Testament of Judah,3,9,"And fear fell upon them, and they ceased warring against us. Therefore my father was free from"
Testament of Judah,3,10,"anxiety in the wars when I was with my brethren. For he saw in a vision concerning me that an angel of might followed me everywhere, that I should not be overcome."
Testament of Judah,4,1,"And in the south there came upon us a greater war than that in Shechem; and I joined in battle array with my brethren, and pursued a thousand men, and slew of them two hundred men and 2,"
Testament of Judah,4,3,"four kings. And I went up upon the wall, and I slew four mighty men. And so we captured Hazor, and took all the spoil."
Testament of Judah,5,1,"On the next day we departed to Aretan, a city strong and walled and inaccessible, threatening us"
Testament of Judah,5,2,"with death. But I and Gad approached on the east side of the city, and Reuben and Levi on the"
Testament of Judah,5,3,"west. And they that were upon the wall, thinking that we were alone, were drawn down against"
Testament of Judah,5,4,"us. And so my brothers secretly climbed up the wall on both sides by stakes, and entered the city,"
Testament of Judah,5,5,"while the men knew it not. And we took it with the edge of the sword. And as for those who had taken refuge in the tower, we set fire to the tower and took both it and them."
Testament of Judah,5,6,"And as we were departing the men of Tappuah set upon our spoil, and delivering it up to our sons we fought with them as far as Tappuah."
Testament of Judah,5,7,"And we slew them and burnt their city, and took as spoil all that was in it."
Testament of Judah,6,1,"And when I was at the waters of Kozeba, the men of Jobel came against us to battle. And we fought with them and routed them; and their allies from Shiloh we slew, and we did not leave 3 them power to come in against us. And the men of Makir came upon us the fifth day, to seize our spoil; and we attacked them and overcame them in fierce battle: for there was a host of mighty 4 men amongst them, and we slew them before they had gone up the ascent. And when we came to 5 their city their women rolled upon us stones from the brow of the hill on which the city stood, And I and Simeon hid ourselves behind the town, and seized upon the heights, and destroyed this city also."
Testament of Judah,6,2,"And when I was at the waters of Kozeba, the men of Jobel came against us to battle. And we fought with them and routed them; and their allies from Shiloh we slew, and we did not leave 3 them power to come in against us. And the men of Makir came upon us the fifth day, to seize our spoil; and we attacked them and overcame them in fierce battle: for there was a host of mighty 4 men amongst them, and we slew them before they had gone up the ascent. And when we came to 5 their city their women rolled upon us stones from the brow of the hill on which the city stood, And I and Simeon hid ourselves behind the town, and seized upon the heights, and destroyed this city also."
Testament of Judah,7,1,And the next day it was told us that the king of the city of Gaash with a mighty host was coming
Testament of Judah,7,2,"against us. I, therefore, and Dan feigned ourselves to be Amorites, and as allies went into their"
Testament of Judah,7,3,"city. And in the depth of night our brethren came and we opened to them the gates; and we destroyed all the men and their substance, and we took for a prey all that was theirs, and their three"
Testament of Judah,7,4,"walls we cast down. And we drew near to Thamna, where was all the substance of the hostile kings. Then being insulted by them, I was therefore wroth, and rushed against them to the summit; and"
Testament of Judah,7,6,"they kept slinging against me stones and darts. And had not Dan my brother aided me, they would"
Testament of Judah,7,7,"have slain me. We came upon them, therefore, with wrath, and they all fled; and passing by"
Testament of Judah,7,8,"another way, they besought my father, and he made peace with them. And we did to them no hurt,"
Testament of Judah,7,9,"and they became tributary to us, and we restored to them their spoil. And I built Thamna, and my"
Testament of Judah,7,10,father built Pabael. I was twenty years old when this war befell. And the Canaanites feared me and my brethren.
Testament of Judah,8,1,"And I had much cattle, and I had for chief herdsman Iram the Adullamite. And when I went to him I saw Parsaba, king of Adullam; and he spake unto us, and he made us a feast; 3 and when I was heated he gave me his daughter Bathshua to wife."
Testament of Judah,8,2,"And I had much cattle, and I had for chief herdsman Iram the Adullamite. And when I went to him I saw Parsaba, king of Adullam; and he spake unto us, and he made us a feast; 3 and when I was heated he gave me his daughter Bathshua to wife."
Testament of Judah,9,1,"And eighteen years my father abode in peace with his brother Esau, and his sons with us, after"
Testament of Judah,9,2,"that we came from Mesopotamia, from Laban. And when eighteen years were fulfilled, in the fortieth year of my life, Esau, the brother of my father, came upon us with a mighty and strong"
Testament of Judah,9,3,"people. And Jacob smote Esau with an arrow, and he was taken up wounded on Mount Seir, and"
Testament of Judah,9,4,"as he went he died at Anoniram. And we pursued after the sons of Esau. Now they had a city with walls of iron and gates of brass; and we could not enter into it, and we encamped around, and"
Testament of Judah,9,5,"besieged it. And when they opened not to us in twenty days, I set up a ladder in the sight of all and with my shield upon my head I went up, sustaining the assault of stones, upwards of three 6,"
Testament of Judah,9,7,"talents weight; and I slew four of their mighty men. And Reuben and Gad slew six others. Then they asked from us terms of peace; and having taken counsel with our father, we received them as"
Testament of Judah,9,8,"tributaries. And they gave us five hundred cors of wheat, five hundred baths of oil, five hundred measures of wine, until the famine, when we went down into Egypt."
Testament of Judah,10,1,"And after these things my son Er took to wife Tamar, from Mesopotamia, a daughter of Aram."
Testament of Judah,10,2,"Now Er was wicked, and he was in need concerning Tamar, because she was not of the land"
Testament of Judah,10,3,"of Canaan. And on the third night an angel of the Lord smote him. And he had not known her according to the evil craftiness of his mother, for he did not wish to have children by her. In the days of the wedding-feast I gave Onan to her in marriage; and he also in wickedness knew her not,"
Testament of Judah,10,5,"though he spent with her a year. And when I threatened him he went in unto her, but he spilled the seed on the ground, according to the command of his mother, and he also died through wickedness."
Testament of Judah,10,6,"And I wished to give Shelah also to her, but his mother did not permit it; for she wrought evil against Tamar, because she was not of the daughters of Canaan, as she also herself was."
Testament of Judah,11,1,"And I knew that the race of the Canaanites was wicked, but the impulse of youth blinded my"
Testament of Judah,11,2,"mind. And when I saw her pouring out wine, owing to the intoxication of wine I was deceived, and"
Testament of Judah,11,3,took her although my father had not counselled (it). And while I was away she went and took for
Testament of Judah,11,4,"Shelah a wife from Canaan. And when I knew what she had done, I cursed her in the anguish of"
Testament of Judah,11,5,my soul. And she also died through her wickedness together with her sons.
Testament of Judah,12,1,"And after these things, while Tamar was a widow, she heard after two years that I was going up"
Testament of Judah,12,2,"to shear my sheep, and adorned herself in bridal array, and sat in the city Enaim by the gate. For it was a law of the Amorites, that she who was about to marry should sit in fornication seven days"
Testament of Judah,12,3,"by the gate. Therefore being drunk with wine, I did not recognize her; and her beauty deceived"
Testament of Judah,12,4,"me, through the fashion of her adorning. And I turned aside to her, and said: Let me go in unto thee. And she said: What wilt thou give me? And I gave her my staff, and my girdle, and the"
Testament of Judah,12,5,"diadem of my kingdom in pledge. And I went in unto her, and she conceived. And not knowing"
Testament of Judah,12,6,"what I had done, I wished to slay her; but she privily sent my pledges, and put me to shame. And when I called her, I heard also the secret words which I spoke when lying with her in my drunkenness;"
Testament of Judah,12,7,"and I could not slay her, because it was from the Lord. For I said, Lest haply she did it in"
Testament of Judah,12,8,"subtlety, having received the pledge from another woman. But I came not again near her while"
Testament of Judah,12,9,"I lived, because I had done this abomination in all Israel. Moreover, they who were in the city said there was no harlot in the gate, because she came from another place, and sat for a while in the 10,"
Testament of Judah,12,11,gate. And I thought that no one knew that I had gone in to her. And after this we came into
Testament of Judah,12,12,"Egypt to Joseph, because of the famine. And I was forty and six years old, and seventy and three years lived I in Egypt."
Testament of Judah,13,1,"And now I command you, my children, hearken to Judah your father, and keep my sayings to"
Testament of Judah,13,2,"perform all the ordinances of the Lord, and to obey the commands of God. And walk not after your lusts, nor in the imaginations of your thoughts in haughtiness of heart; and glory not in the deeds"
Testament of Judah,13,3,"and strength of your youth, for this also is evil in the eyes of the Lord. Since I also gloried that in wars no comely woman's face ever enticed me, and reproved Reuben my brother concerning Bilhah, the wife of my father, the spirits of jealousy and of fornication arrayed themselves against me, until I lay with Bathshua the Canaanite, and Tamar, who was espoused to my sons. For I said to my father-in-law: I will take counsel with my father, and so will I take thy daughter. And he was unwilling, but he showed me a boundless store of gold in his daughter's behalf; for he was"
Testament of Judah,13,5,"a king. And he adorned her with gold and pearls, and caused her to pour out wine for us at the"
Testament of Judah,13,6,"feast with the beauty of women. And the wine turned aside my eyes, and pleasure blinded my"
Testament of Judah,13,7,"heart. And I became enamoured of and I lay with her, and transgressed the commandment of the"
Testament of Judah,13,8,"Lord and the commandment of my fathers, and I took her to wife. And the Lord rewarded me according to the imagination of my heart, inasmuch as I had no joy in her children."
Testament of Judah,14,1,"And now, my children, I say unto you, be not drunk with wine; for wine turneth the mind away"
Testament of Judah,14,2,"from the truth, and inspires the passion of lust, and leadeth the eyes into error. For the spirit of fornication hath wine as a minister to give pleasure to the mind; for these two also take away the"
Testament of Judah,14,3,"mind of man. For if a man drink wine to drunkenness, it disturbeth the mind with filthy thoughts leading to fornication, and heateth the body to carnal union; and if the occasion of the lust be"
Testament of Judah,14,4,"present, he worketh the sin, and is not ashamed. Such is the inebriated man, my children; for he"
Testament of Judah,14,5,"who is drunken reverenceth no man. For, lo, it made me also to err, so that I was not ashamed of the multitude in the city, in that before the eyes of all I turned aside unto Tamar, and I wrought"
Testament of Judah,14,6,"a great sin, and I uncovered the covering of my sons' shame. After I had drunk wine I reverenced"
Testament of Judah,14,7,"not the commandment of God, and I took a woman of Canaan to wife. For much discretion needeth the man who drinketh wine, my children; and herein is discretion in drinking wine a man"
Testament of Judah,14,8,"may drink so long as he preserveth modesty. But if he go beyond this limit the spirit of deceit attacketh his mind, and it maketh the drunkard to talk filthily, and to transgress and not to be ashamed, but even to glory in his shame, and to account himself honourable."
Testament of Judah,15,1,"He that committeth fornication is not aware when he suffers loss, and is not ashamed when put"
Testament of Judah,15,2,"to dishonour. For even though a man be a king and commit fornication, he is stripped of his"
Testament of Judah,15,3,"kingship by becoming the slave of fornication, as I myself also suffered. For I gave my staff, that is, the stay of my tribe; and my girdle, that is, my power; and my diadem, that is, the glory of my"
Testament of Judah,15,4,"kingdom. And indeed I repented of these things; wine and flesh I eat not until my old age, nor"
Testament of Judah,15,5,did I behold any joy. And the angel of God showed me that for ever do women bear rule over
Testament of Judah,15,6,"king and beggar alike. And from the king they take away his glory, and from the valiant man his might, and from the beggar even that little which is the stay of his poverty."
Testament of Judah,16,1,"Observe, therefore, my children, the (rights limit in wine; for there are in it four evil spirits--- of"
Testament of Judah,16,2,"lust, of hot desire, of profligacy of filthy lucre. If ye drink wine in gladness, be ye modest in the fear of God. For if in (your) gladness the fear of God departeth, then drunkenness ariseth and"
Testament of Judah,16,3,"shamelessness stealeth in. But if ye would live soberly do not touch wine at all, lest ye sin in words of outrage, and in fightings and slanders, and transgressions of the commandments of God,"
Testament of Judah,16,4,"and ye perish before your time. Moreover, wine revealeth the mysteries of God and men, even as I also revealed the commandments of God and the mysteries of Jacob my father to the Canaanitish"
Testament of Judah,16,5,"woman Bathshua, which God bade me not to reveal. And wine is a cause both of war and confusion."
Testament of Judah,17,1,"And now, I command you, my children, not to love money, nor to gaze upon the beauty of women; because for the sake of money and beauty I was led astray to Bathshua the Canaanite. 2,"
Testament of Judah,17,3,"[For I know that because of these two things shall my race fall into wickedness. For even wise men among my sons shall they mar, and shall cause the kingdom of Judah to be diminished, which"
Testament of Judah,17,4,"the Lord gave me because of my obedience to my father. For I never caused grief to Jacob, my"
Testament of Judah,17,5,"father: for all things whatsoever he commanded I did. And Isaac, the father of my father, blessed"
Testament of Judah,17,6,"me to be king in Israel, and Jacob further blessed me in like manner. And I know that from me shall the kingdom be established."
Testament of Judah,18,1,And I know what evils ye will do in the last days.]
Testament of Judah,18,2,"Beware, therefore, my children, of fornication, and the love of money, and hearken to Judah your father. 3 For these things withdraw you from the law of God, And blind the inclination of the soul, And teach arrogance, And suffer not a man to have compassion upon his neighbour"
Testament of Judah,18,4,"They rob his soul of all goodness, And oppress him with toils and troubles, And drive away sleep from him, And devour his flesh."
Testament of Judah,18,5,"And he hindereth the sacrifices of God; And he remembereth not the blessing of God, He hearkeneth not to a prophet when he speaketh, And resenteth the words of godliness."
Testament of Judah,18,6,"For he is a slave to two contrary passions, And cannot obey God, Because they have blinded his soul, And he walketh in the day as in the night."
Testament of Judah,19,1,"My children, the love of money leadeth to idolatry; because, when led astray through money, men name as gods those who are not gods, and it causeth him who hath it to fall into madness"
Testament of Judah,19,2,"For the sake of money I lost my children, and had not my repentance, and my humiliation, and"
Testament of Judah,19,3,"the prayers of my father been accepted, I should have died childless. But the God of my fathers"
Testament of Judah,19,4,"had mercy on me, because I did it in ignorance. And the prince of deceit blinded me, and I sinned as a man and as flesh, being corrupted through sins; and I learnt my own weakness while thinking myself invincible."
Testament of Judah,20,1,"Know, therefore, my children, that two spirits wait upon man the spirit of truth and the spirit"
Testament of Judah,20,2,"of deceit. And in the midst is the spirit of understanding of the mind, to which it belongeth to turn whithersoever it will."
Testament of Judah,20,3,"And the works of truth and the works of deceit are written upon the hearts of men, and each one of them the Lord knoweth."
Testament of Judah,20,4,And there is no time at which the works of men can be hid; for on the heart itself have they been
Testament of Judah,20,5,"written down before the Lord. And the spirit of truth testifieth all things, and accuseth all; and the sinner is burnt up by his own heart, and cannot raise his face to the judge."
Testament of Judah,21,1,"And now, my children, I command you, love Levi, that ye may abide, and exalt not yourselves"
Testament of Judah,21,2,"against him, lest ye be utterly destroyed. For to me the Lord gave the kingdom, and to him the"
Testament of Judah,21,3,"priesthood, and He set the kingdom beneath the priesthood. To me He gave the things upon the"
Testament of Judah,21,4,"earth; to him the things in the heavens. As the heaven is higher than the earth, so is the priesthood of God higher than the earthly kingdom, unless it falls away through sin from the Lord and is"
Testament of Judah,21,5,"dominated by the earthly kingdom. For the angel of the Lord said unto me: The Lord chose him rather than thee, to draw near to Him, and to eat of His table and to offer Him the first-fruits of the choice things of the sons of Israel; but thou shalt be king of Jacob."
Testament of Judah,21,6,"And thou shalt be amongst them as the sea. For as, on the sea, just and unjust are tossed about, some taken into captivity while some are enriched, so also shall every race of men be in thee: some shall be impoverished, being taken captive, and others grow rich by plundering the possessions of others."
Testament of Judah,21,7,"For the kings shall be as sea-monsters. They shall swallow men like fishes: The sons and daughters of free men shall they enslave; Houses, lands, flocks, money shall they plunder:"
Testament of Judah,21,8,"And with the flesh of many shall they wrongfully feed the ravens and the cranes; And they shall advance in evil, in covetousness uplifted,"
Testament of Judah,21,9,"And there shall be false prophets like tempests, And they shall persecute all righteous men."
Testament of Judah,22,1,And the Lord shall bring upon them divisions one against another. And there shall be continual wars in Israel;
Testament of Judah,22,2,"And among men of another race shall my kingdom be brought to an end, Until the salvation of Israel shall come, Until the appearing of the God of righteousness, That Jacob [and all the Gentiles] may rest in peace."
Testament of Judah,22,3,And He shall guard the might of my kingdom for ever; For the Lord sware to me with an oath that He would not destroy the kingdom from my seed for ever.
Testament of Judah,23,1,"Now I have much grief, my children, because of your lewdness and witchcrafts, and idolatries which ye shall practise against the kingdom, following them that have familiar spirits, diviners, and"
Testament of Judah,23,2,"demons of error. Ye shall make your daughters singing girls and harlots, and ye shall mingle in"
Testament of Judah,23,3,"the abominations of the Gentiles. For which things' sake the Lord shall bring upon you famine and pestilence, death and the sword, beleaguering by enemies, and revilings of friends, the slaughter of children, the rape of wives, the plundering of possessions, the burning of the temple of God,] the"
Testament of Judah,23,4,"laying waste of the land, the enslavement of yourselves among the Gentiles. And they shall make some of you eunuchs for their wives."
Testament of Judah,23,5,"Until the Lord visit you, when with perfect heart ye repent and walk in all His commandments; and He bring you up from captivity among the Gentiles."
Testament of Judah,24,1,"And after these things shall a star arise to you from Jacob in peace, And a man shall arise [from my seed], like the sun of righteousness, walking with the sons of men in meekness and righteousness; And no sin shall be found in him."
Testament of Judah,24,2,"and the heavens shall be open unto him, To pour out the spirit, (even) the blessing of the Holy Father;"
Testament of Judah,24,3,"And He shall pour out the spirit of grace upon you; And ye shall be unto Him sons in truth, And ye shall walk in His commandments first and last."
Testament of Judah,24,4,"[This Branch of God Most High, And this Fountain giving life unto all.]"
Testament of Judah,24,5,Then shall the sceptre of my kingdom shine forth; And from your root shall arise a stem;
Testament of Judah,24,6,"And from it shall grow a rod of righteousness to the Gentiles, To judge and to save all that call upon the Lord."
Testament of Judah,26,1,"And after these things shall Abraham and Isaac and Jacob arise unto life, and I and my brethren shall be chiefs of the tribes of Israel: Levi first, I the second, Joseph third, Benjamin fourth,"
Testament of Judah,26,2,"Simeon fifth; Issachar sixth, and so all in order. And the Lord blessed Levi, and the Angel of the Presence, me; the powers of glory, Simeon; the heaven, Reuben; the earth, Issachar; the sea, Zebulun; the mountains, Joseph; the tabernacle, Benjamin; the luminaries, Dan; Eden, Naphtali; the sun, Gad; the moon, Asher."
Testament of Judah,26,3,"And ye shall be the people of the Lord, and have one tongue; And there shall be there no spirit of deceit of Beliar, For he shall be cast into the fire for ever."
Testament of Judah,26,4,"And they who have died in grief shall arise in joy , And they who were poor for the Lord's sake shall be made rich, And they who are put to death for the Lord's sake shall awake to life."
Testament of Judah,26,5,"And the harts of Jacob shall run in joyfulness, And the eagles of Israel shall fly in gladness; And all the people shall glorify the Lord for ever."
Testament of Issachar,2,1,"Then appeared to Jacob an angel of the Lord, saying: Two children shall Rachel bear, inasmuch"
Testament of Issachar,2,2,"as she hath refused company with her husband, and hath chosen continency. And had not Leah my mother paid the two apples for the sake of his company, she would have borne eight sons; for this reason she bare six, and Rachel bare the two: for on account of the mandrakes the Lord"
Testament of Issachar,2,3,"visited her. For He knew that for the sake of children she wished to company with Jacob, and not for lust of pleasure. For on the morrow also she again gave up Jacob. Because of the mandrakes;"
Testament of Issachar,2,5,"therefore, the Lord hearkened to Rachel. For though she desired them, she eat them not, but offered them in the house of the Lord, presenting them to the priest of the Most High who was at that time."
Testament of Issachar,3,1,"When, therefore, I grew up, my children, I walked in uprightness of heart, and I became a husbandman for my father and my brethren, and I brought in fruits from the field according to 2,"
Testament of Issachar,3,3,"their season. And my father blessed me, for he saw that I walked in rectitude before him. And"
Testament of Issachar,3,4,"I was not a busybody in my doings, nor envious and malicious against my neighbour. I never slandered any one, nor did I censure the life of any man, walking as I did in singleness of eye."
Testament of Issachar,3,5,"Therefore, when I was thirty- five years old, I took to myself a wife, for my labour wore away my strength, and I never thought upon pleasure with women; but owing to my toil, sleep overcame me. 6 And my father always rejoiced in my rectitude, because I offered through the priest to the Lord"
Testament of Issachar,3,7,all first-fruits; then to my father also. And the Lord increased ten thousandfold His benefits in my
Testament of Issachar,3,8,"hands; and also Jacob, my father, knew that God aided my singleness. For on all the poor and oppressed I bestowed the good things of the earth in the singleness of my heart."
Testament of Issachar,4,1,"And now, hearken to me, my children, And walk in singleness of your heart, For I have seen in it all that is well-pleasing to the Lord."
Testament of Issachar,4,2,"The single-(minded) man coveteth not gold, He overreacheth not his neighbour, He longeth not after manifold dainties, He delighteth not in varied apparel."
Testament of Issachar,4,3,"He doth not desire to live a long life, But only waiteth for the will of God."
Testament of Issachar,4,4,"And the spirits of deceit have no power against him, For he looketh not on the beauty of women, Lest he should pollute his mind with corruption."
Testament of Issachar,4,5,"There is no envy in his thoughts, [No malicious person maketh his soul to pine away,] Nor worry with insatiable desire in his mind."
Testament of Issachar,4,6,"For he walketh in singleness of soul, And beholdeth all things in uprightness of heart, Shunning eyes (made) evil through the error of the world, Lest he should see the perversion of any of the commandments of the Lord."
Testament of Issachar,5,1,"Keep, therefore, my children, the law of God, And get singleness. And walk in guilelessness, Not playing the busybody with the business of your neighbour,"
Testament of Issachar,5,2,"But love the Lord and your neighbour, Have compassion on the poor and weak."
Testament of Issachar,5,3,"Bow down your back unto husbandry, And toil in labours in all manner of husbandry, Offering gifts to the Lord with thanksgiving."
Testament of Issachar,5,4,"For with the first-fruits of the earth will the Lord bless you, even as He blessed all the saints"
Testament of Issachar,5,5,"from Abel even until now. For no other portion is given to you than of the fatness of the earth,"
Testament of Issachar,5,6,whose fruits are raised by toil. For our father Jacob blessed me with blessings of the earth and of
Testament of Issachar,5,7,"first-fruits. And Levi and Judah were glorified by the Lord even among the sons of Jacob; for the Lord gave them an inheritance, and to Levi He gave the priesthood, and to Judah the kingdom."
Testament of Issachar,5,8,"And do ye therefore obey them, and walk in the singleness of your father; [for unto Gad hath it been given to destroy the troops that are coming upon Israel]."
Testament of Issachar,6,1,"Know ye therefore, my children, that in the last times Your sons will forsake singleness, And will cleave unto insatiable desire; And leaving guilelessness will draw near to malice; And forsaking the commandments of the Lord, They will cleave unto Beliar."
Testament of Issachar,6,2,"And leaving husbandry, They will follow after their own wicked devices, And they shall be dispersed among the Gentiles. And shall serve their enemies."
Testament of Issachar,6,3,"And do you therefore give these commands to your children, that, if they sin, they may the more"
Testament of Issachar,6,4,"quickly return to the Lord; For He is merciful, and will deliver them, even to bring them back into their land."
Testament of Issachar,7,1,"Behold, therefore, as ye see, I am a hundred and twenty-six years old and am not conscious of committing any sin."
Testament of Issachar,7,2,Except my wife I have not known any woman. I never committed fornication by the uplifting of my eyes.
Testament of Issachar,7,3,"I drank not wine, to be led astray thereby; I coveted not any desirable thing that was my neighbour's."
Testament of Issachar,7,4,Guile arose not in my heart; A lie passed not through my lips.
Testament of Issachar,7,5,"If any man were in distress I joined my sighs with his, And I shared my bread with the poor. I wrought godliness, all my days I kept truth"
Testament of Issachar,7,6,I loved the Lord; Likewise also every man with all my heart.
Testament of Issachar,7,7,"So do you also these things, my children, And every spirit of Beliar shall flee from you, And no deed of wicked men shall rule over you; And every wild beast shall ye subdue, Since you have with you the God of heaven and earth (And) walk with men in singleness of heart."
Testament of Issachar,7,8,"And having said these things, he commanded his sons that they should carry him up to Hebron, and bury him there in the cave with his fathers. And he stretched out his feet and died, at a good old age; with every limb sound, and with strength unabated, he slept the eternal sleep. 1 1"
Testament of Zebulun,2,1,"For Simeon and Gad came against Joseph to kill him, and he said unto them with tears: Pity me, my brethren, have mercy upon the bowels of Jacob our father: lay not upon me your hands 3 to shed innocent blood, for I have not sinned against you."
Testament of Zebulun,2,2,"For Simeon and Gad came against Joseph to kill him, and he said unto them with tears: Pity me, my brethren, have mercy upon the bowels of Jacob our father: lay not upon me your hands 3 to shed innocent blood, for I have not sinned against you."
Testament of Zebulun,2,4,"father. And as he spoke these words, wailing as he did so, I was unable to bear his lamentations, and began to weep, and my liver was poured out, and all the substance of my bowels was loosened."
Testament of Zebulun,2,5,"And I wept with Joseph, and my heart sounded, and the joints of my body trembled, and I was"
